_____XOX_ W: 28327, L: 58392, T: 13291
__O__XOXX W: 28327, L: 58392, T: 13291
O_OX_XOXX W: 28327, L: 58392, T: 13291
___OX__X_ W: 28327, L: 58392, T: 13291
__OOX_XX_ W: 28327, L: 58392, T: 13291
X_OOXOXX_ W: 28327, L: 58392, T: 13291
_X___O__X W: 28327, L: 58392, T: 13291
_XX_OO__X W: 28327, L: 58392, T: 13291
_XX_OOOXX W: 28327, L: 58392, T: 13291
_OXX_____ W: 28327, L: 58392, T: 13291
_OXX_O_X_ W: 28327, L: 58392, T: 13291
XOXXOO_X_ W: 28327, L: 58392, T: 13291
XO_____X_ W: 28327, L: 58392, T: 13291
XO____XXO W: 28327, L: 58392, T: 13291
_XX_OO_X_ W: 28327, L: 58392, T: 13291
_OXX_O__X W: 28327, L: 58392, T: 13291
OOXX_O_XX W: 28327, L: 58392, T: 13291
_O___X__X W: 28327, L: 58392, T: 13291
XO___XO_X W: 28327, L: 58392, T: 13291
X_____O_X W: 28327, L: 58392, T: 13291
X_X___OOX W: 28327, L: 58392, T: 13291
O___XO_XX W: 28327, L: 58392, T: 13291
__X__XOXO W: 28327, L: 58392, T: 13291
X_X_OXOXO W: 28327, L: 58392, T: 13291
X__O____X W: 28327, L: 58392, T: 13291
XX_O__O_X W: 28327, L: 58392, T: 13291
XOXX____O W: 28327, L: 58392, T: 13291
___OXX___ W: 28327, L: 58392, T: 13291
O__OXXX__ W: 28327, L: 58392, T: 13291
_XOX__O_X W: 28327, L: 58392, T: 13291
OXOX_XO_X W: 28327, L: 58392, T: 13291
X__O__X__ W: 28327, L: 58392, T: 13291
XOOOX_XX_ W: 28327, L: 58392, T: 13291
_OX___X__ W: 28327, L: 58392, T: 13291
_XOO___XX W: 28327, L: 58392, T: 13291
XXOO__OXX W: 28327, L: 58392, T: 13291
X_X__OO_X W: 28327, L: 58392, T: 13291
X___OXO_X W: 28327, L: 58392, T: 13291
O_X_X____ W: 28327, L: 58392, T: 13291
O_XOXX___ W: 28327, L: 58392, T: 13291
X______OX W: 28327, L: 58392, T: 13291
XXO____OX W: 28327, L: 58392, T: 13291
XXOO_X_OX W: 28327, L: 58392, T: 13291
_X_O__X__ W: 28327, L: 58392, T: 13291
_XXO__XO_ W: 28327, L: 58392, T: 13291
O_____XX_ W: 28327, L: 58392, T: 13291
OX_O__XX_ W: 28327, L: 58392, T: 13291
__XX__O__ W: 28327, L: 58392, T: 13291
__XX_XO_O W: 28327, L: 58392, T: 13291
__X_O_X__ W: 28327, L: 58392, T: 13291
__X_O_XOX W: 28327, L: 58392, T: 13291
_OX__OXX_ W: 28327, L: 58392, T: 13291
_X__X_O__ W: 28327, L: 58392, T: 13291
_X_XX_OO_ W: 28327, L: 58392, T: 13291
_OX____X_ W: 28327, L: 58392, T: 13291
_OX_X_OX_ W: 28327, L: 58392, T: 13291
XOX_XOOX_ W: 28327, L: 58392, T: 13291
_XO____X_ W: 28327, L: 58392, T: 13291
___X__O_X W: 28327, L: 58392, T: 13291
__OXX_O_X W: 28327, L: 58392, T: 13291
OXX_X__O_ W: 28327, L: 58392, T: 13291
X_O_X____ W: 28327, L: 58392, T: 13291
