_X__XX_OO W: 5101, L: 22321, T: 2587
O_O_X__XX W: 5101, L: 22321, T: 2587
O_X_X____ W: 5101, L: 22321, T: 2587
OOX_X___X W: 5101, L: 22321, T: 2587
OXOO_XX_X W: 5101, L: 22321, T: 2587
X____X__O W: 5101, L: 22321, T: 2587
X__O_X_XO W: 5101, L: 22321, T: 2587
X_OOXX_XO W: 5101, L: 22321, T: 2587
OXOX_XX_O W: 5101, L: 22321, T: 2587
___X_O__X W: 5101, L: 22321, T: 2587
OX_X_O__X W: 5101, L: 22321, T: 2587
_OX__X___ W: 5101, L: 22321, T: 2587
XO_O__X_X W: 5101, L: 22321, T: 2587
X_X_O_O_X W: 5101, L: 22321, T: 2587
XOX_O_OXX W: 5101, L: 22321, T: 2587
__X_XO___ W: 5101, L: 22321, T: 2587
XO_XO___X W: 5101, L: 22321, T: 2587
XO_XOXO_X W: 5101, L: 22321, T: 2587
XO_O_XX__ W: 5101, L: 22321, T: 2587
XOOOXXX__ W: 5101, L: 22321, T: 2587
_OX___XXO W: 5101, L: 22321, T: 2587
XOXO__XXO W: 5101, L: 22321, T: 2587
X_X____O_ W: 5101, L: 22321, T: 2587
OX__XXOOX W: 5101, L: 22321, T: 2587
XOOXOX_X_ W: 5101, L: 22321, T: 2587
X__X____O W: 5101, L: 22321, T: 2587
X_XXO___O W: 5101, L: 22321, T: 2587
X_XXOXO_O W: 5101, L: 22321, T: 2587
__X_X___O W: 5101, L: 22321, T: 2587
__X_X_OXO W: 5101, L: 22321, T: 2587
XO__OX_X_ W: 5101, L: 22321, T: 2587
XOX_OXOX_ W: 5101, L: 22321, T: 2587
O_OX__XX_ W: 5101, L: 22321, T: 2587
O___XXX_O W: 5101, L: 22321, T: 2587
OXO_X___X W: 5101, L: 22321, T: 2587
OXO_XX_OX W: 5101, L: 22321, T: 2587
_O_XOX__X W: 5101, L: 22321, T: 2587
OO_XOX_XX W: 5101, L: 22321, T: 2587
X__O__X__ W: 5101, L: 22321, T: 2587
X__OO_XX_ W: 5101, L: 22321, T: 2587
OO_XX__X_ W: 5101, L: 22321, T: 2587
OO_XX_XXO W: 5101, L: 22321, T: 2587
O_XOX___X W: 5101, L: 22321, T: 2587
_X_XOX_O_ W: 5101, L: 22321, T: 2587
_XXXOX_OO W: 5101, L: 22321, T: 2587
_OOX__X_X W: 5101, L: 22321, T: 2587
OX_X_____ W: 5101, L: 22321, T: 2587
OX_X__O_X W: 5101, L: 22321, T: 2587
OXOXX_O_X W: 5101, L: 22321, T: 2587
XX____O__ W: 5101, L: 22321, T: 2587
XX__OXO__ W: 5101, L: 22321, T: 2587
XX_OOXO_X W: 5101, L: 22321, T: 2587
X__XO__XO W: 5101, L: 22321, T: 2587
X_XXO_OXO W: 5101, L: 22321, T: 2587
X_X___O__ W: 5101, L: 22321, T: 2587
XOXX__O__ W: 5101, L: 22321, T: 2587
O__X_O_XX W: 5101, L: 22321, T: 2587
_X_XO_OX_ W: 5101, L: 22321, T: 2587
