X_XXXOO_O W: 22321, L: 5101, T: 2587
_O_X__XOX W: 22321, L: 5101, T: 2587
_O_XXOXOX W: 22321, L: 5101, T: 2587
XX_O_____ W: 22321, L: 5101, T: 2587
XX_O__XO_ W: 22321, L: 5101, T: 2587
__XOXX_O_ W: 22321, L: 5101, T: 2587
X_XOXXOO_ W: 22321, L: 5101, T: 2587
XO_O__X_X W: 22321, L: 5101, T: 2587
X__XOX__O W: 22321, L: 5101, T: 2587
X_XXOX_OO W: 22321, L: 5101, T: 2587
_O_X_X_XO W: 22321, L: 5101, T: 2587
XOOX_X_XO W: 22321, L: 5101, T: 2587
OX_O___XX W: 22321, L: 5101, T: 2587
____OXX__ W: 22321, L: 5101, T: 2587
___XOXX_O W: 22321, L: 5101, T: 2587
_OXXOXX_O W: 22321, L: 5101, T: 2587
X__X_XO_O W: 22321, L: 5101, T: 2587
X_XX___OO W: 22321, L: 5101, T: 2587
__O_XXOX_ W: 22321, L: 5101, T: 2587
X_O_XXOXO W: 22321, L: 5101, T: 2587
O_X_O_X_X W: 22321, L: 5101, T: 2587
OXXOO_X_X W: 22321, L: 5101, T: 2587
O__OX__XX W: 22321, L: 5101, T: 2587
O_OOXX_XX W: 22321, L: 5101, T: 2587
X_O____X_ W: 22321, L: 5101, T: 2587
X_OX_O_X_ W: 22321, L: 5101, T: 2587
__XOX____ W: 22321, L: 5101, T: 2587
__XOX__XO W: 22321, L: 5101, T: 2587
X_XOX_OXO W: 22321, L: 5101, T: 2587
XO_X_____ W: 22321, L: 5101, T: 2587
XO_XO___X W: 22321, L: 5101, T: 2587
__X__O__X W: 22321, L: 5101, T: 2587
_OX_XO__X W: 22321, L: 5101, T: 2587
_OXXXOO_X W: 22321, L: 5101, T: 2587
XO____X__ W: 22321, L: 5101, T: 2587
XOX___X_O W: 22321, L: 5101, T: 2587
____XOXOX W: 22321, L: 5101, T: 2587
_X_OXOXOX W: 22321, L: 5101, T: 2587
__XXO____ W: 22321, L: 5101, T: 2587
_XXXO__O_ W: 22321, L: 5101, T: 2587
OX__X_O_X W: 22321, L: 5101, T: 2587
OXOXX_O_X W: 22321, L: 5101, T: 2587
O_XX_O_X_ W: 22321, L: 5101, T: 2587
O_XXOOXX_ W: 22321, L: 5101, T: 2587
XXOO__X__ W: 22321, L: 5101, T: 2587
XXOOO_XX_ W: 22321, L: 5101, T: 2587
OX_____X_ W: 22321, L: 5101, T: 2587
